seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity,task
30,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
31,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
32,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
33,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
34,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
35,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
36,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
37,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
38,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
39,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
40,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
41,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
42,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
43,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
44,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
45,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
46,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
47,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
48,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
49,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
50,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
51,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
52,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
53,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
54,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
55,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
56,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
57,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
58,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
59,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
60,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
61,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
62,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
63,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
0,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
1,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
2,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
3,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
4,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
5,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
6,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
7,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
8,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
9,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
10,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
11,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
12,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
13,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
14,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
15,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
16,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
17,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
18,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
19,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
20,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
21,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
22,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
23,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
24,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
25,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
26,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
27,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
28,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
29,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
30,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
31,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
32,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
33,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
34,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
35,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
36,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
37,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
38,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
39,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
40,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
41,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
42,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
43,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
44,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
45,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
46,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
47,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
48,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
49,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
50,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
51,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
52,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
53,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
54,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
55,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
56,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
57,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
58,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
59,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
60,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
61,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
62,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
63,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.01,1.0,foodshare
0,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
1,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
2,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
3,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
4,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
5,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
6,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
7,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
8,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
9,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
10,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
11,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
12,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
13,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
14,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
15,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
16,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
17,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
18,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
19,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
20,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
21,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
22,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
23,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
24,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
25,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
26,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
27,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
28,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
29,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
30,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
31,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
32,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
33,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
34,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
35,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
36,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
37,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
38,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
39,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
40,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
41,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
42,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
43,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
44,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
45,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
46,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
47,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
48,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
49,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
50,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
51,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
52,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
53,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
54,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
55,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
56,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
57,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
58,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
59,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
60,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
61,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
62,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
63,social_affective_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
0,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
1,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
2,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
3,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
4,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
5,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
6,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
7,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
8,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
9,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
10,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
11,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
12,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
13,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
14,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
15,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
16,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
17,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
18,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
19,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
20,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
21,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
22,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
23,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
24,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
25,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
26,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
27,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
28,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
29,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
30,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
31,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
32,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
33,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
34,social_full_direct,FoodShareToy,coupling_off,0.0,0.0,1.0,1.0,0.0,1.0,foodshare
