seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity
62,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
63,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
0,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
1,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
2,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
3,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
4,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
5,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
6,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
7,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
8,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
9,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
10,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
11,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
12,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
13,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
14,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
15,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
16,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
17,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
18,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
19,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
20,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
21,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
22,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
