task,model,horizon,seed,T,success,time_to_goal,hazard_contacts,min_dist_to_goal,final_dist_to_goal,forward_frac,turn_frac,stay_frac,unique_pos_frac,mean_Ns,mean_alpha_eff,mean_valence,mean_arousal
gridworld,Recon,3,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,3,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,3,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,3,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,3,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,3,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,3,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,3,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,3,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,3,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,3,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,3,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,3,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,3,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,3,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,3,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,4,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,4,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,4,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,4,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,4,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,4,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,4,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,4,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,4,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,4,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,4,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,4,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,4,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,4,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,4,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,4,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,4,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,4,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,4,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,4,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,5,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,5,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,5,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,5,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,5,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,5,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,5,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,5,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,5,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,5,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,5,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,5,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,5,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,5,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,5,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,5,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,5,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,5,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,5,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,5,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,6,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,6,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,6,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,6,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,6,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,6,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,6,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,6,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,6,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,6,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,6,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,6,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,6,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,6,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,6,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,6,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,6,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,6,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,6,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,6,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,7,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,7,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,7,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,7,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,7,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,7,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,7,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,7,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,7,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,7,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,7,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,7,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,7,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,7,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,7,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,7,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,7,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,7,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,7,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,7,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,8,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,8,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,8,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,8,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,8,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,8,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,8,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,8,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,8,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,8,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,8,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,8,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,8,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,8,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,8,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,8,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,8,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,8,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,8,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,8,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,9,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,9,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,9,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,9,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,9,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,9,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,9,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,9,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,9,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,9,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,9,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,9,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,9,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,9,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,9,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,9,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,9,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,9,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,9,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,9,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,10,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,10,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,10,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,10,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,10,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,10,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,10,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,10,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,10,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,10,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,10,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,10,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,10,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,10,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,10,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,10,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,10,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,10,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,10,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,10,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,11,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,11,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,11,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,11,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
gridworld,Recon,11,4,250,False,250,4,1.0,2.23606797749979,0.96,0.04,0.0,0.332,0.5140576825019181,,,
gridworld,Recon,11,5,250,True,24,20,0.0,6.324555320336759,0.916,0.084,0.0,0.384,0.559183100780379,,,
gridworld,Recon,11,6,250,False,250,5,1.4142135623730951,5.0,0.936,0.064,0.0,0.224,0.514694749959441,,,
gridworld,Recon,11,7,250,True,24,7,0.0,6.4031242374328485,0.928,0.072,0.0,0.472,0.5194971202192997,,,
gridworld,Recon,11,8,250,True,90,22,0.0,5.830951894845301,0.924,0.076,0.0,0.3,0.5507845434132349,,,
gridworld,Recon,11,9,250,True,144,2,0.0,12.727922061357855,0.94,0.06,0.0,0.26,0.5203360949770952,,,
gridworld,Recon,11,10,250,False,250,40,1.0,10.63014581273465,0.932,0.068,0.0,0.192,0.5907111770216296,,,
gridworld,Recon,11,11,250,False,250,14,1.0,2.23606797749979,0.932,0.068,0.0,0.244,0.5467881681971,,,
gridworld,Recon,11,12,250,False,250,38,1.0,8.94427190999916,0.908,0.092,0.0,0.244,0.590084709728172,,,
gridworld,Recon,11,13,250,False,250,13,1.0,8.06225774829855,0.92,0.08,0.0,0.44,0.5352074814713087,,,
gridworld,Recon,11,14,250,False,250,3,1.4142135623730951,8.94427190999916,0.968,0.032,0.0,0.188,0.5074835847719065,,,
gridworld,Recon,11,15,250,True,176,3,0.0,8.06225774829855,0.932,0.068,0.0,0.4,0.5105290453344525,,,
gridworld,Recon,11,16,250,True,73,11,0.0,9.433981132056603,0.932,0.068,0.0,0.276,0.5321105493270536,,,
gridworld,Recon,11,17,250,False,250,25,1.0,9.433981132056603,0.924,0.076,0.0,0.24,0.5669864845156453,,,
gridworld,Recon,11,18,250,True,146,6,0.0,6.4031242374328485,0.936,0.064,0.0,0.304,0.5158152037275547,,,
gridworld,Recon,11,19,250,False,250,2,1.4142135623730951,12.727922061357855,0.948,0.052,0.0,0.092,0.5057393323821182,,,
gridworld,Recon,12,0,250,False,250,5,2.0,10.0,0.936,0.064,0.0,0.32,0.5149404074079673,,,
gridworld,Recon,12,1,250,True,201,22,0.0,3.1622776601683795,0.928,0.072,0.0,0.38,0.5633451585485492,,,
gridworld,Recon,12,2,250,True,6,42,0.0,12.727922061357855,0.908,0.092,0.0,0.384,0.5938028730732415,,,
gridworld,Recon,12,3,250,True,52,2,0.0,8.06225774829855,0.944,0.056,0.0,0.248,0.5061059419688789,,,
